,a
0,0.880248
1,0.77773064
2,0.6341909
3,0.6047475
4,0.4833699
5,0.4120495
6,0.38443512
7,0.37672547
8,0.3672402
9,0.3371383
10,0.30957773
11,0.28106168
12,0.24496393
13,0.21361741
14,0.19325918
15,0.18838386
16,0.1561542
17,0.14704427
18,0.14640284
19,0.14077027
20,0.12892534
21,0.11988275
22,0.114507556
23,0.109775096
24,0.103651896
25,0.098105766
26,0.097826496
27,0.092502795
28,0.08827203
29,0.08370468
30,0.07892942
31,0.07552711
32,0.07500028
33,0.0713044
34,0.064252436
35,0.06256934
36,0.061353087
37,0.06105216
38,0.059550107
39,0.055268466
40,0.05463907
41,0.052906256
42,0.052539326
43,0.05000861
44,0.049845804
45,0.049184773
46,0.04525136
47,0.045199987
48,0.04453393
49,0.04436658
50,0.043860134
51,0.04311802
52,0.041017428
53,0.039388105
54,0.03893256
55,0.03875019
56,0.03789892
57,0.036502436
58,0.035706703
59,0.033975624
60,0.033176925
61,0.030237904
62,0.029550873
63,0.028491883
64,0.028399765
65,0.027423328
66,0.027369056
67,0.026716147
68,0.026456129
69,0.025289796
70,0.023884112
71,0.022968853
72,0.022291059
73,0.021963846
74,0.021742504
75,0.021117013
76,0.020548983
77,0.020136649
78,0.02007113
79,0.01990116
80,0.019812986
81,0.01958555
82,0.019299408
83,0.019287724
84,0.01906347
85,0.018788436
86,0.018767828
87,0.018347574
88,0.018153533
89,0.017510341
90,0.016619649
91,0.015688548
92,0.015674151
93,0.015496913
94,0.015309447
95,0.014620898
96,0.014595601
97,0.0143584525
98,0.014205561
99,0.013764619
