,a
0,b'Drink'
1,b'Person'
2,b'Person'
3,b'Drink'
4,b'Furniture'
5,b'Human arm'
6,b'Beer'
7,b'Table'
8,b'Clothing'
9,b'Human hand'
10,b'Window'
11,b'Person'
12,b'Clothing'
13,b'Window'
14,b'Tableware'
15,b'Bottle'
16,b'Furniture'
17,b'Person'
18,b'Human hand'
19,b'Furniture'
20,b'Clothing'
21,b'Human arm'
22,b'Man'
23,b'Furniture'
24,b'Table'
25,b'Drink'
26,b'Human arm'
27,b'Beer'
28,b'Tin can'
29,b'Woman'
30,b'Furniture'
31,b'Desk'
32,b'Beer'
33,b'Shelf'
34,b'Window'
35,b'Bottle'
36,b'Man'
37,b'Table'
38,b'Human hand'
39,b'Clothing'
40,b'Shelf'
41,b'Clothing'
42,b'Cabinetry'
43,b'Juice'
44,b'Clothing'
45,b'Furniture'
46,b'Person'
47,b'Building'
48,b'Person'
49,b'Countertop'
50,b'Man'
51,b'Human hand'
52,b'Human hand'
53,b'Tableware'
54,b'Building'
55,b'Toy'
56,b'Drink'
57,b'Mug'
58,b'Human arm'
59,b'Shelf'
60,b'Person'
61,b'Countertop'
62,b'Mammal'
63,b'Wine'
64,b'Table'
65,b'Clothing'
66,b'Human body'
67,b'House'
68,b'Furniture'
69,b'Food processor'
70,b'Sports equipment'
71,b'Human arm'
72,b'Drink'
73,b'Wine'
74,b'Clothing'
75,b'Cosmetics'
76,b'Curtain'
77,b'Human hand'
78,b'Clothing'
79,b'House'
80,b'Bottle'
81,b'Blender'
82,b'Food'
83,b'Shelf'
84,b'Window'
85,b'Mammal'
86,b'Clothing'
87,b'Kitchen appliance'
88,b'Toy'
89,b'Girl'
90,b'Furniture'
91,b'Clothing'
92,b'Cabinetry'
93,b'Cocktail'
94,b'Human arm'
95,b'Clothing'
96,b'Picture frame'
97,b'Curtain'
98,b'Human body'
99,b'Drink'
