,a,b,c,d
0,0.14167799,0.47880208,0.46260193,0.82587254
1,0.077084325,0.14059143,0.5633516,0.43255398
2,0.8122208,0.0727511,0.9979189,0.22732861
3,0.71469873,0.15147749,0.80869186,0.21505612
4,0.2819849,0.70249146,0.7382302,0.9938568
5,0.6987789,0.07359788,0.9937963,0.25132224
6,0.69476277,0.07397403,0.9953717,0.2430738
7,0.21185008,0.52427995,0.42734128,0.7626919
8,0.18663089,0.68425655,0.31890923,0.7489325
9,0.15179732,0.48746824,0.4527677,0.826501
10,0.3875304,0.09835305,0.6313568,0.32014877
11,0.3205096,0.7037486,0.97298497,0.99680936
12,0.6940286,0.06971908,0.9962665,0.24729729
13,0.5616441,0.5115002,0.7062783,0.58145285
14,0.06290375,0.10934843,0.82944185,0.44197226
15,0.07832194,0.13631298,0.94296706,0.9636586
16,0.14874877,0.6743101,0.31519124,0.77832466
17,0.18844795,0.59730023,0.97072196,0.9766929
18,0.25543508,0.09365856,0.67171115,0.4191859
19,0.32667798,0.72861385,0.6475566,0.97083294
20,0.57771766,0.58261114,0.701803,0.6508707
21,0.54892373,0.3488964,0.9097742,0.48806104
22,0.18438406,0.580777,0.39396042,0.8406514
23,0.10220561,0.2262818,0.9637309,0.96247953
24,0.15862794,0.56151426,0.3946892,0.83342224
25,0.15352759,0.617145,0.38621554,0.8469889
26,0.17959802,0.7230305,0.3445646,0.87133086
27,0.839078,0.16520251,0.9872213,0.23801579
28,0.5419548,0.68115294,0.8042069,0.8192042
29,0.56120676,0.510948,0.8099912,0.6480362
30,0.1572771,0.5195834,0.4184314,0.8285968
31,0.16040699,0.5073038,0.47486064,0.80853283
32,0.050573654,0.14234029,0.8706179,0.6967668
33,0.84646654,0.19096462,0.9302125,0.23772891
34,0.70716393,0.11334059,0.83108187,0.21548258
35,0.61322534,0.7331061,1.0,0.9872067
36,0.06981743,0.30521125,0.7416386,0.95309347
37,0.20058836,0.6587862,0.37353936,0.8545239
38,0.09112371,0.077637635,0.9943083,0.99812543
39,0.69599044,0.0960152,0.84405774,0.20860171
40,0.14821851,0.67917466,0.26064175,0.76432323
41,0.20173731,0.6980822,0.37817618,0.8535749
42,0.55833477,0.50390285,0.87153697,0.6109745
43,0.24192376,0.7349339,0.33993194,0.8656142
44,0.6985492,0.0734349,0.99920434,0.24478813
45,0.7029427,0.07187943,1.0,0.24611942
46,0.15577805,0.6778058,0.3151507,0.78402984
47,0.53471255,0.0060334536,0.84225386,0.10462245
48,0.1669455,0.6265141,0.3774674,0.8521669
49,0.15387015,0.68702865,0.3803346,0.86221266
50,0.81527114,0.1960952,0.87947077,0.27304813
51,0.31760067,0.097718924,0.8050572,0.38166824
52,0.17340016,0.68541306,0.3636203,0.87023467
53,0.77833664,0.0331806,0.85377645,0.079518095
54,0.7017898,0.0701759,0.9976872,0.23936164
55,0.7727728,0.032350283,0.8550609,0.07954856
56,0.21870957,0.7206899,0.35266715,0.84444934
57,0.026282197,0.05063068,1.0,0.98801786
58,0.5682042,0.52406996,0.65715086,0.5993727
59,0.144394,0.52961755,0.4126019,0.8449567
60,0.19595872,0.9147365,0.6363625,0.9987154
61,0.6972604,0.06861691,0.9959311,0.24203418
62,0.9271271,0.1620253,1.0,0.23819137
63,0.82583725,0.18421337,0.9657416,0.25334892
64,0.5758146,0.007527923,0.8546632,0.1011661
65,0.808215,0.23406698,0.857275,0.27419573
66,0.8542903,0.09524906,0.99590224,0.24178635
67,0.74103147,0.07377936,0.96886927,0.23183316
68,0.5753315,0.0057748794,0.8531039,0.10110618
69,0.77299076,0.03214779,0.85578847,0.08003745
70,0.84890616,0.0841974,1.0,0.18207872
71,0.10793961,0.1262228,0.6577788,0.9652908
72,0.20805578,0.7232552,0.35408103,0.8502321
73,0.08273601,0.09842674,1.0,0.99746925
74,0.45016012,0.00011513233,0.6581603,0.12996817
75,0.09100487,0.2017401,0.6003549,0.9417063
76,0.70393056,0.12155349,0.810573,0.20741497
77,0.1451942,0.49039045,0.46767294,0.81889707
78,0.16204546,0.62663347,0.33280045,0.77307874
79,0.1814252,0.68297493,0.3818312,0.81014746
80,0.805715,0.071757756,0.9919628,0.23149288
81,0.82239723,0.18530639,0.9142912,0.26614764
82,0.13951091,0.62480897,0.38763678,0.86117125
83,0.16120064,0.67574507,0.3507284,0.8204309
84,0.16189243,0.68411505,0.28335047,0.7563837
85,0.07483363,0.08280975,0.94487226,0.9575812
86,0.17238462,0.64682317,0.33642143,0.82392234
87,0.53682476,0.70451194,0.9454279,0.99459326
88,0.5053744,0.7052049,0.9337496,1.0
89,0.07714315,0.5483657,0.91313064,0.9824253
90,0.8175525,0.19641754,0.94411093,0.2668881
91,0.09994909,0.41730902,0.5296592,0.90954137
92,0.7391144,0.1821929,0.77692264,0.20456657
93,0.15725581,0.62729156,0.3316501,0.79751647
94,0.5833966,0.009212055,0.84181523,0.10040274
95,0.4645103,0.0,0.79218376,0.13129152
96,0.11308889,0.38878226,0.55097955,0.9144369
97,0.18781745,0.49767122,0.44662142,0.7584141
98,0.5639231,0.0035318327,0.8565599,0.10213867
99,0.17815721,0.5110481,0.44437873,0.77171826
