,a
0,0.9842137
1,0.88629335
2,0.67430156
3,0.26063126
4,0.22585051
5,0.21251859
6,0.20659834
7,0.16271886
8,0.16168551
9,0.15769973
10,0.1551538
11,0.12878226
12,0.12695791
13,0.12462551
14,0.11881832
15,0.0972662
16,0.0924887
17,0.09129416
18,0.068745084
19,0.068609014
20,0.06715961
21,0.05322622
22,0.03973359
23,0.03526341
24,0.03111151
25,0.030618737
26,0.030126546
27,0.03012404
28,0.026669532
29,0.024059352
30,0.022486048
31,0.022433987
32,0.021116396
33,0.020079922
34,0.017839612
35,0.015858466
36,0.015655028
37,0.015158037
38,0.014737878
39,0.014451015
40,0.013007282
41,0.012386015
42,0.011939284
43,0.011917676
44,0.011878455
45,0.01064106
46,0.010259151
47,0.009959923
48,0.009814796
49,0.00962146
50,0.008702899
51,0.0082202535
52,0.008217625
53,0.008043599
54,0.0076473877
55,0.0073550763
56,0.0072241244
57,0.0071079964
58,0.0070802323
59,0.0070524653
60,0.0070524616
61,0.0070390715
62,0.0069772275
63,0.0068790265
64,0.0065281214
65,0.006358217
66,0.006357191
67,0.006293838
68,0.006056027
69,0.0059948904
70,0.0059670345
71,0.0059647844
72,0.00570464
73,0.0054213204
74,0.0052839266
75,0.0050735525
76,0.0050715306
77,0.004855476
78,0.0047789416
79,0.004632912
80,0.004514406
81,0.0044332044
82,0.0043414263
83,0.004305013
84,0.004302913
85,0.004251309
86,0.004217051
87,0.0041751717
88,0.0040708873
89,0.0038229055
90,0.0036882544
91,0.0033801817
92,0.0033767628
93,0.003359203
94,0.0033428876
95,0.0032920947
96,0.0032762995
97,0.003214902
98,0.0030671335
99,0.003034238
